This file lists the wavelength (W) in Angstroem and photon flux (F)
in 1E10 m-2 s-1, followed by the line/range identification for the 
specific wavelength group. -------------------- 12/15/94/dkb

     W        F
  904.10   160.0 C II
  905.00   207.6 H LY(C)
  906.00   212.9 H LY(C)
  907.00   218.4 H LY(C)
  908.00   223.9 H LY(C)
  909.00   229.6 H LY(C)
  910.00   235.4 H LY(C)
  911.00   241.3 H LY(C)
  912.00   247.5 H LY(C)
  913.00     2.3 C I (C)
  914.00     2.3 C I (C)
  915.00     2.3 C I (C)
  916.00     2.4 C I (C)
  917.00     2.4 C I (C)
  918.00     2.5 C I (C)
  919.00     2.5 C I (C)
  920.00     2.6 C I (C)
  921.00     2.6 C I (C)
  922.00     2.6 C I (C)
  923.00     2.8 C I (C)
  923.10   242.0 N IV
  924.00     2.8 C I (C)
  925.00     2.9 C I (C)
  926.00     2.9 C I (C)
  926.20   110.0 H LY-7
  927.00     3.0 C I (C)
  928.00     3.0 C I (C)
  929.00     3.1 C I (C)
  930.00     3.1 C I (C)
  930.70   260.0 BLEND( )
  931.00     3.2 C I (C)
  932.00     3.2 C I (C)
  933.00     3.3 C I (C)
  933.40   140.0 S VI
  934.00     3.3 C I (C)
  935.00     3.4 C I (C)
  936.00     3.4 C I (C)
  937.00     3.5 C I (C)
  937.80   160.0 H LY-5
  938.00     3.6 C I (C)
  939.00     3.6 C I (C)
  940.00     3.7 C I (C)
  941.00     3.7 C I (C)
  942.00     3.9 C I (C)
  943.00     4.0 C I (C)
  944.00     4.0 C I (C)
  944.50   130.0 S VI
  945.00     4.1 C I (C)
  946.00     4.2 C I (C)
  947.00     4.2 C I (C)
  948.00     4.3 C I (C)
  949.00     4.4 C I (C)
  949.74   300.0 H LY-4
  950.00     4.4 C I (C)
  951.00     4.5 C I (C)
  952.00     4.6 C I (C)
  953.00     4.7 C I (C)
  954.00     4.7 C I (C)
  955.00     4.8 C I (C)
  956.00     5.0 C I (C)
  957.00     5.1 C I (C)
  958.00     5.2 C I (C)
  959.00     5.3 C I (C)
  960.00     5.3 C I (C)
  961.00     5.4 C I (C)
  962.00     5.5 C I (C)
  963.00     5.6 C I (C)
  964.00     5.7 C I (C)
  965.00     5.8 C I (C)
  966.00     5.9 C I (C)
  967.00     6.1 C I (C)
  968.00     6.2 C I (C)
  969.00     6.3 C I (C)
  970.00     6.4 C I (C)
  971.00     6.5 C I (C)
  972.00     6.6 C I (C)
  972.50   600.0 H LY-3
  973.00     6.7 C I (C)
  974.00     6.8 C I (C)
  975.00     7.0 C I (C)
  976.00     7.2 C I (C)
  977.00     7.3 C I (C)
  977.03  4400.0 C III
  978.00     7.4 C I (C)
  979.00     7.5 C I (C)
  980.00     7.7 C I (C)
  981.00     7.8 C I (C)
  982.00     7.9 C I (C)
  983.00     8.0 C I (C)
  984.00     8.3 C I (C)
  985.00     8.4 C I (C)
  986.00     8.5 C I (C)
  987.00     8.7 C I (C)
  988.00     8.8 C I (C)
  989.00     9.0 C I (C)
  990.00     9.1 C I (C)
  991.00     9.4 C I (C)
  991.00   590.0 N III
  992.00     9.5 C I (C)
  993.00     9.7 C I (C)
  994.00     9.8 C I (C)
  995.00    10.0 C I (C)
  996.00    10.2 C I (C)
  997.00    10.3 C I (C)
  998.00    10.6 C I (C)
  999.00    10.8 C I (C)
 1000.00    11.0 C I (C)
 1001.00    11.1 C I (C)
 1002.00    11.3 C I (C)
 1003.00    11.6 C I (C)
 1004.00    11.8 C I (C)
 1005.00    12.0 C I (C)
 1006.00    12.2 C I (C)
 1007.00    12.4 C I (C)
 1008.00    12.7 C I (C)
 1009.00    12.9 C I (C)
 1010.00    13.1 C I (C)
 1010.20   110.0 C II
